DATE,WASH911BPPRIV
1988-01-01,1504
1988-02-01,3341
1988-03-01,3924
1988-04-01,3877
1988-05-01,3010
1988-06-01,3473
1988-07-01,3493
1988-08-01,3833
1988-09-01,3474
1988-10-01,3960
1988-11-01,3073
1988-12-01,2799
1989-01-01,2100
1989-02-01,2205
1989-03-01,2388
1989-04-01,3087
1989-05-01,2658
1989-06-01,3543
1989-07-01,2526
1989-08-01,3202
1989-09-01,3891
1989-10-01,1890
1989-11-01,2518
1989-12-01,3583
1990-01-01,4504
1990-02-01,2095
1990-03-01,2620
1990-04-01,2087
1990-05-01,1934
1990-06-01,3078
1990-07-01,1319
1990-08-01,1950
1990-09-01,1283
1990-10-01,1491
1990-11-01,1516
1990-12-01,1068
1991-01-01,764
1991-02-01,1032
1991-03-01,1864
1991-04-01,1454
1991-05-01,1903
1991-06-01,1693
1991-07-01,1782
1991-08-01,1539
1991-09-01,1332
1991-10-01,1482
1991-11-01,1256
1991-12-01,1630
1992-01-01,1409
1992-02-01,1495
1992-03-01,2490
1992-04-01,2149
1992-05-01,2661
1992-06-01,2063
1992-07-01,2140
1992-08-01,1725
1992-09-01,2087
1992-10-01,2004
1992-11-01,1512
1992-12-01,1997
1993-01-01,1938
1993-02-01,1823
1993-03-01,2435
1993-04-01,3483
1993-05-01,2518
1993-06-01,2866
1993-07-01,2622
1993-08-01,2535
1993-09-01,2296
1993-10-01,2298
1993-11-01,2659
1993-12-01,2602
1994-01-01,1855
1994-02-01,1955
1994-03-01,2692
1994-04-01,2918
1994-05-01,2813
1994-06-01,3674
1994-07-01,2618
1994-08-01,2871
1994-09-01,3231
1994-10-01,2737
1994-11-01,2186
1994-12-01,2415
1995-01-01,1523
1995-02-01,1932
1995-03-01,3803
1995-04-01,2313
1995-05-01,2142
1995-06-01,2361
1995-07-01,2138
1995-08-01,3838
1995-09-01,2513
1995-10-01,2934
1995-11-01,2091
1995-12-01,1848
1996-01-01,1665
1996-02-01,1992
1996-03-01,2371
1996-04-01,2614
1996-05-01,3565
1996-06-01,3531
1996-07-01,2556
1996-08-01,3319
1996-09-01,2252
1996-10-01,2584
1996-11-01,1713
1996-12-01,2095
1997-01-01,2349
1997-02-01,1808
1997-03-01,2014
1997-04-01,2473
1997-05-01,2987
1997-06-01,2810
1997-07-01,2566
1997-08-01,3105
1997-09-01,2354
1997-10-01,2496
1997-11-01,2338
1997-12-01,2815
1998-01-01,1940
1998-02-01,2332
1998-03-01,2954
1998-04-01,2686
1998-05-01,3678
1998-06-01,3475
1998-07-01,3738
1998-08-01,3213
1998-09-01,3806
1998-10-01,3071
1998-11-01,2099
1998-12-01,3453
1999-01-01,2722
1999-02-01,2477
1999-03-01,3953
1999-04-01,3450
1999-05-01,3131
1999-06-01,3136
1999-07-01,3470
1999-08-01,3235
1999-09-01,2737
1999-10-01,3586
1999-11-01,2688
1999-12-01,3463
2000-01-01,2895
2000-02-01,2709
2000-03-01,3614
2000-04-01,3132
2000-05-01,3096
2000-06-01,3570
2000-07-01,3840
2000-08-01,3245
2000-09-01,2312
2000-10-01,3377
2000-11-01,3283
2000-12-01,2843
2001-01-01,2772
2001-02-01,3680
2001-03-01,3461
2001-04-01,3033
2001-05-01,2918
2001-06-01,3917
2001-07-01,2718
2001-08-01,2910
2001-09-01,2714
2001-10-01,3146
2001-11-01,3058
2001-12-01,2844
2002-01-01,2755
2002-02-01,2625
